id,名称,emoji,名称与emoji,类型,效果,价格,备注
treasure_20,篮球,🏀,篮球 🏀,宝藏,每拼写5个单词，具有一次x4倍率,5,单卡区随机上架；带配饰时售价+0~+3
treasure_21,靶心,🎯,靶心 🎯,宝藏,随机+0-26倍率,4,单卡区随机上架；带配饰时售价+0~+3
treasure_22,号角,📯,号角 📯,宝藏,使用最后一次拼写次数拼写的单词会额外触发一次字母计分,5,单卡区随机上架；带配饰时售价+0~+3
treasure_23,算盘,🧮,算盘 🧮,宝藏,会将棋盘中最高的稀有度对应的奖励分数添加至倍率,5,单卡区随机上架；带配饰时售价+0~+3
treasure_24,小票,🧾,小票 🧾,宝藏,每次进入商店获得1次免费刷新,4,单卡区随机上架；带配饰时售价+0~+3
treasure_25,海螺,🐚,海螺 🐚,宝藏,"A,B,C,E,H,M,U提供+5分分数和+2倍率",8,单卡区随机上架；带配饰时售价+0~+3
treasure_26,书本,📚,书本 📚,宝藏,你每有一个宝藏，+4倍率,4,单卡区随机上架；带配饰时售价+0~+3
treasure_27,硬币,🪙,硬币 🪙,宝藏,在关卡完成时，如果你没有使用过丢弃，则每个丢弃次数会提供$2,4,单卡区随机上架；带配饰时售价+0~+3
treasure_28,乐谱,🎼,乐谱 🎼,宝藏,"重新触发所有A,B,C,D,E",6,单卡区随机上架；带配饰时售价+0~+3
treasure_29,炸弹,💣,炸弹 💣,宝藏,+50倍率；在关卡完成时1/5的概率爆炸,5,单卡区随机上架；带配饰时售价+0~+3
treasure_30,试管,🧪,试管 🧪,宝藏,所有字母还会被额外视为元音字母,5,单卡区随机上架；带配饰时售价+0~+3
treasure_31,锤子,🔨,锤子 🔨,宝藏,所有字母还会被额外视为辅音字母,5,单卡区随机上架；带配饰时售价+0~+3
treasure_32,满月,🌕,满月 🌕,宝藏,元音字母提供+40分分数,5,单卡区随机上架；带配饰时售价+0~+3
treasure_33,向日葵,🌻,向日葵 🌻,宝藏,元音字母提供+4倍率,5,单卡区随机上架；带配饰时售价+0~+3
treasure_34,木头,🪵,木头 🪵,宝藏,辅音字母提供+40分分数,5,单卡区随机上架；带配饰时售价+0~+3
treasure_35,蓝莓,🫐,蓝莓 🫐,宝藏,辅音字母提供+4倍率,5,单卡区随机上架；带配饰时售价+0~+3
treasure_36,标签,🏷️,标签 🏷️,宝藏,字母E提供+20分分数和+4倍率,4,单卡区随机上架；带配饰时售价+0~+3
treasure_37,摇杆,🕹️,摇杆 🕹️,宝藏,元音字母有1/2概率使你获得$1,4,单卡区随机上架；带配饰时售价+0~+3
treasure_38,尺子,📏,尺子 📏,宝藏,提高分数和倍率，数值等同于当前长度在本轮游戏内被拼出的次数,5,单卡区随机上架；带配饰时售价+0~+3
treasure_39,飞机,🛫,飞机 🛫,宝藏,有1/4的几率升级拼写单词的长度等级,5,单卡区随机上架；带配饰时售价+0~+3
treasure_40,书,📖,书 📖,宝藏,每当你拼写出一个不是名词的单词，获得+2倍率（当前+0）,6,单卡区随机上架；带配饰时售价+0~+3
treasure_41,蜡烛,🕯️,蜡烛 🕯️,宝藏,在关卡完成时本宝藏的出售价格提高$3,4,单卡区随机上架；带配饰时售价+0~+3
treasure_42,红绿灯,🚦,红绿灯 🚦,宝藏,+3丢弃次数，你的单词被视为-1的长度,7,单卡区随机上架；带配饰时售价+0~+3
treasure_43,灯泡,💡,灯泡 💡,宝藏,如果棋盘中剩下的都是普通或稀有字母，x2倍率,6,单卡区随机上架；带配饰时售价+0~+3
treasure_44,笔记本,📔,笔记本 📔,宝藏,如果你拼写的单词不包含重复的字母，获得+20分分数,5,单卡区随机上架；带配饰时售价+0~+3
treasure_45,打字机,🖨️,打字机 🖨️,宝藏,所有列出的概率翻倍,4,单卡区随机上架；带配饰时售价+0~+3
treasure_46,证件,🪪,证件 🪪,宝藏,每一个拼出的双字母组合提供x2.5倍率,5,单卡区随机上架；带配饰时售价+0~+3
treasure_47,鱼竿,🎣,鱼竿 🎣,宝藏,你的牌库中每剩余一个字母，+1分分数,5,单卡区随机上架；带配饰时售价+0~+3
treasure_48,匕首,🗡️,匕首 🗡️,宝藏,当你触发boss的限制时，获得$8,5,单卡区随机上架；带配饰时售价+0~+3
treasure_49,扫帚,🧹,扫帚 🧹,宝藏,每当一次丢弃至少5个元音字母时，获得$5,4,单卡区随机上架；带配饰时售价+0~+3
treasure_50,天平,⚖️,天平 ⚖️,宝藏,每拼写一个单词，获得+2倍率；每丢弃一次字母，获得-2倍率（当前+0）,4,单卡区随机上架；带配饰时售价+0~+3
treasure_51,卷轴,📜,卷轴 📜,宝藏,如果你拼写的单词以tion结尾，随机释放一个法术,4,单卡区随机上架；带配饰时售价+0~+3
treasure_52,盆栽,🪴,盆栽 🪴,宝藏,如果单词长度在本关内已经被拼写过，x3倍率,6,单卡区随机上架；带配饰时售价+0~+3
treasure_53,自行车,🚲,自行车 🚲,宝藏,每当组合包被跳过时，获得+4倍率,5,单卡区随机上架；带配饰时售价+0~+3
treasure_54,电池,🔋,电池 🔋,宝藏,x3倍率；在关卡完成时1/1000的概率摧毁自身；需在本轮游戏中使一个炸弹爆炸后才可在商店出现,6,单卡区随机上架；带配饰时售价+0~+3
treasure_55,四叶草,🍀,四叶草 🍀,宝藏,当拼写的单词长度为4时，获得+10分分数,4,单卡区随机上架；带配饰时售价+0~+3
treasure_56,闪电,⚡,闪电 ⚡,宝藏,如果你拼写单词后的余额少于$5，随机释放一个法术,4,单卡区随机上架；带配饰时售价+0~+3
treasure_57,钱袋,💰,钱袋 💰,宝藏,你每有$1，+2分分数,6,单卡区随机上架；带配饰时售价+0~+3
treasure_58,菜刀,🔪,菜刀 🔪,宝藏,如果每关拼写的第一个单词只有3个字母，从牌库中移除这3个字母并获得$3,6,单卡区随机上架；带配饰时售价+0~+3
treasure_59,摩天轮,🎡,摩天轮 🎡,宝藏,每当商店刷新时，获得+2倍率,5,单卡区随机上架；带配饰时售价+0~+3
treasure_60,火车,🚂,火车 🚂,宝藏,+25倍率；每拼写一个单词-5倍率,5,单卡区随机上架；带配饰时售价+0~+3
treasure_61,星空,🌌,星空 🌌,宝藏,每当你拼写一个带有相同的相邻字母的单词，获得+2倍率,6,单卡区随机上架；带配饰时售价+0~+3
treasure_62,磁铁,🧲,磁铁 🧲,宝藏,x2倍率，每弃掉1个字母损失0.01（当前x2）,6,单卡区随机上架；带配饰时售价+0~+3
treasure_63,蛇,🐍,蛇 🐍,宝藏,每一个s提供+5分分数和+5倍率；每一个z提供+20分分数和x2倍率,4,单卡区随机上架；带配饰时售价+0~+3
treasure_64,旋钮,🎛️,旋钮 🎛️,宝藏,你接下来的10个单词都会额外触发一次字母计分,6,单卡区随机上架；带配饰时售价+0~+3
treasure_65,陶罐,🏺,陶罐 🏺,宝藏,每当你弃掉一张abcde，获得+5分分数，字母每关都会变化（当前+0分）,6,单卡区随机上架；带配饰时售价+0~+3
treasure_66,信封,📨,信封 📨,宝藏,每当你卖出宝藏时，获得x0.25倍率，在每个大关完成后重置,9,单卡区随机上架；带配饰时售价+0~+3
treasure_67,金牌,🥇,金牌 🥇,宝藏,如果用尽拼写次数时达到了所需分数的25%，摧毁自身并使你获得3次拼写机会,5,单卡区随机上架；带配饰时售价+0~+3
treasure_68,洞,🕳️,洞 🕳️,宝藏,使用最后一次拼写次数时具有x3倍率,6,单卡区随机上架；带配饰时售价+0~+3
treasure_69,取款机,🏧,取款机 🏧,宝藏,将其他宝藏的售卖价格之和添加至倍率,4,单卡区随机上架；带配饰时售价+0~+3
treasure_70,旗帜,🚩,旗帜 🚩,宝藏,你的单词的第一个字母会额外触发2次计分,4,单卡区随机上架；带配饰时售价+0~+3
treasure_71,银行,🏦,银行 🏦,宝藏,传说字母提供$10,7,单卡区随机上架；带配饰时售价+0~+3
treasure_72,八号球,🎱,八号球 🎱,宝藏,史诗字母提供x2倍率,7,单卡区随机上架；带配饰时售价+0~+3
treasure_73,手提包,👜,手提包 👜,宝藏,稀有字母提供+50分分数,7,单卡区随机上架；带配饰时售价+0~+3
treasure_74,砖块,🧱,砖块 🧱,宝藏,普通字母提供+10倍率,7,单卡区随机上架；带配饰时售价+0~+3
treasure_75,计分板,📋,计分板 📋,宝藏,所有字母永久获得+4分分数,5,单卡区随机上架；带配饰时售价+0~+3
treasure_76,回形针,📎,回形针 📎,宝藏,所有字母永久获得+1倍率,5,单卡区随机上架；带配饰时售价+0~+3
treasure_77,彩虹,🌈,彩虹 🌈,宝藏,当一次拼写中包含至少3种材质的字母块时，使棋盘上一个随机字母块变为万能块,6,单卡区随机上架；带配饰时售价+0~+3
treasure_78,雪人,⛄,雪人 ⛄,宝藏,每当一个碎冰块碎裂时，获得x0.75倍率,6,单卡区随机上架；带配饰时售价+0~+3
treasure_79,棱镜,🧿,棱镜 🧿,宝藏,如果你的一次拼写中拥有4种不同的稀有度，具有x3倍率,6,单卡区随机上架；带配饰时售价+0~+3
treasure_80,泡泡,🫧,泡泡 🫧,宝藏,每当字母B计分时，获得+8分数（当前+n）,8,单卡区随机上架；带配饰时售价+0~+3
treasure_81,培养皿,🧫,培养皿 🧫,宝藏,每次拼写名词有1/3概率打开一个宝藏组合包,6,单卡区随机上架；带配饰时售价+0~+3
treasure_82,蝴蝶结,🎀,蝴蝶结 🎀,宝藏,每次拼写形容词有1/2概率打开一个法术组合包,6,单卡区随机上架；带配饰时售价+0~+3
treasure_83,记事本,📓,记事本 📓,宝藏,如果拼写的是名词，获得$3（词性在关卡结束时都会变化）,4,单卡区随机上架；带配饰时售价+0~+3
treasure_84,齿轮,⚙️,齿轮 ⚙️,宝藏,每次拼写动词有1/2概率打开一个升级组合包,6,单卡区随机上架；带配饰时售价+0~+3
treasure_85,羽毛,🪶,羽毛 🪶,宝藏,如果拼写的单词为副词，打开一个字母组合包,6,单卡区随机上架；带配饰时售价+0~+3
treasure_86,炸药,🧨,炸药 🧨,宝藏,每当进入关卡时，获得x0.5倍率并随机摧毁一个其他宝藏,7,单卡区随机上架；带配饰时售价+0~+3
treasure_87,礼盒,🎁,礼盒 🎁,宝藏,每当进入关卡时，随机获取2个新的宝藏（需要有空位）,6,单卡区随机上架；带配饰时售价+0~+3
treasure_88,海绵,🧽,海绵 🧽,宝藏,每当你使用一个带有增强效果的字母，移除它的增强效果，并获得x0.1倍率,7,单卡区随机上架；带配饰时售价+0~+3
treasure_89,邮筒,📬,邮筒 📬,宝藏,每当一个字母被加入你的牌库，获得x0.25倍率（当前x1）,7,单卡区随机上架；带配饰时售价+0~+3
treasure_90,信用卡,💳,信用卡 💳,宝藏,你可以负债$20,1,单卡区随机上架；带配饰时售价+0~+3
treasure_91,闪星,🌟,闪星 🌟,宝藏,黄金块提供$4,5,单卡区随机上架；带配饰时售价+0~+3
treasure_92,竹子,🎋,竹子 🎋,宝藏,你的单词视为+1的长度，每回合拼写次数-1,6,单卡区随机上架；带配饰时售价+0~+3
treasure_93,小号,🎺,小号 🎺,宝藏,重新触发所有的辅音字母,6,单卡区随机上架；带配饰时售价+0~+3
treasure_94,阳光,🔆,阳光 🔆,宝藏,所有普通字母提供x1.25倍率（稀有度和倍率在每关结束时都会变化）,8,单卡区随机上架；带配饰时售价+0~+3
treasure_95,嘴,👄,嘴 👄,宝藏,允许相邻的元音字母彼此替换,7,单卡区随机上架；带配饰时售价+0~+3
treasure_96,鬼牌,🃏,鬼牌 🃏,宝藏,每当进入关卡时，在你的牌库中添加一个具有随机增益效果的字母并立即抽到它,6,单卡区随机上架；带配饰时售价+0~+3
treasure_97,滑块,🎚️,滑块 🎚️,宝藏,普通和稀有视为同一种稀有度；史诗和传说视为同一种稀有度；,7,单卡区随机上架；带配饰时售价+0~+3
treasure_98,面具,🎭,面具 🎭,宝藏,复制右侧的宝藏能力,10,单卡区随机上架；带配饰时售价+0~+3
treasure_99,垃圾桶,🗑️,垃圾桶 🗑️,宝藏,你每弃掉一个E，获得x0.25倍率（倍率在关卡结束时重置）,8,单卡区随机上架；带配饰时售价+0~+3
treasure_100,字典,📕,字典 📕,宝藏,如果拼写的单词是名词，x2倍率,8,单卡区随机上架；带配饰时售价+0~+3
treasure_101,蜡笔,🖍️,蜡笔 🖍️,宝藏,如果拼写的单词是形容词，x3倍率,8,单卡区随机上架；带配饰时售价+0~+3
treasure_102,跑步,🏃,跑步 🏃,宝藏,如果拼写的单词是动词，x2.5倍率,8,单卡区随机上架；带配饰时售价+0~+3
treasure_103,剪刀,✂️,剪刀 ✂️,宝藏,+400分分数，你的单词被视为-2的长度,7,单卡区随机上架；带配饰时售价+0~+3
treasure_104,镜子,🪞,镜子 🪞,宝藏,完成2个关卡后，你可以卖出本宝藏以创建一个其他宝藏的原始版复制（当前0/2）,8,单卡区随机上架；带配饰时售价+0~+3
treasure_105,绵羊,🐑,绵羊 🐑,宝藏,复制最左边的宝藏的效果,10,单卡区随机上架；带配饰时售价+0~+3
treasure_106,工具,🛠️,工具 🛠️,宝藏,在关卡完成时，你在本轮游戏中每使用过1次升级，获得$1（当前为$0）,6,单卡区随机上架；带配饰时售价+0~+3
treasure_107,钢琴,🎹,钢琴 🎹,宝藏,每一个棋盘上的J和K提供+10倍率,5,单卡区随机上架；带配饰时售价+0~+3
treasure_108,书包,🎒,书包 🎒,宝藏,如果你的完整牌库中有至少16个具有增益的字母块，x3倍率,7,单卡区随机上架；带配饰时售价+0~+3
treasure_109,魔杖,🪄,魔杖 🪄,宝藏,每当进入关卡时，随机释放一个法术,6,单卡区随机上架；带配饰时售价+0~+3
treasure_110,门票,🎟️,门票 🎟️,宝藏,商店中的升级卡和升级包免费,8,单卡区随机上架；带配饰时售价+0~+3
treasure_111,日历,📆,日历 📆,宝藏,每当你在关卡中第一次弃掉一个完整单词，升级这个单词对应的长度,8,单卡区随机上架；带配饰时售价+0~+3
treasure_112,钞票,💵,钞票 💵,宝藏,你每有$5便获得+2倍率（当前+0）,8,单卡区随机上架；带配饰时售价+0~+3
treasure_120,手枪,🔫,手枪 🔫,宝藏,每个关卡的第一次丢弃如果仅弃掉了1个字母，从牌库中移除它并获得$3,6,单卡区随机上架；带配饰时售价+0~+3
spell_restart,重播,,重播,法术,重复你的上一张法术卡的效果,4,仅当上张可重播法术存在时出现在商店
spell_cake,蛋糕,,蛋糕,法术,选择2个字母块，使其变为幸运块,4,
spell_dice,骰子,,骰子,法术,随机释放2张其他法术卡,4,
spell_arrow_up,向上,,向上,法术,随机释放2个升级卡,4,
spell_blaze,炙烤,,炙烤,法术,选择2个字母块，使其变为火焰块,3,
spell_drinks,饮料,,饮料,法术,选择2个字母块，使其变为水波块,3,
spell_lightbulb,点亮,,点亮,法术,选择1个字母块，使其变为万能块,5,
spell_hammer,锤炼,,锤炼,法术,选择1个字母块，使其变为钢铁块,4,
spell_snowflake,降温,,降温,法术,选择1个字母块，使其变为碎冰块,3,
spell_hand_coin,积累,,积累,法术,翻倍余额，至多获得$20,3,
spell_star,星星,,星星,法术,1/4 概率：为你的一个随机宝藏装备一个随机配饰,3,
spell_seedling,生长,,生长,法术,选择2个字母块，使他们后移1位,2,
spell_delete_back,删除,,删除,法术,选择2个字母块，从牌库中将其移除,3,
spell_file_copy,复制,,复制,法术,选择2个字母块，将第1个变为第2个的复制,3,
spell_price_tag,标签,,标签,法术,获得金币，数值相当于当前所有宝藏的售出价值总和,3,
spell_flask,炼金,,炼金,法术,选择1个字母块，使其变为黄金块,3,
spell_bard,抛光,,抛光,法术,选择2个字母块，使其稀有度提升1级,3,
spell_mic,麦克风,,麦克风,法术,选择2个字母块，使其变为随机的辅音字母,2,
spell_notification,铃铛,,铃铛,法术,选择2个字母块，使其变为随机的元音字母,3,
spell_phone,电话,,电话,法术,选择3个字母块，使其变为随机的字母,3,
spell_treasure_map,藏宝图,,藏宝图,法术,获取一个随机宝藏,4,
spell_familiar,家猫,,家猫,法术,从下列字母中随机移除1个，将3个带有增强效果的元音字母加入你的牌库,4,幻灵标签
spell_grim,幽魂,,幽魂,法术,从下列字母中随机移除1个，将2个带有增强效果的E加入你的牌库,4,幻灵标签
spell_incantation,卷轴,,卷轴,法术,从下列字母中随机移除1个，将4个带有增强效果的辅音字母加入你的牌库,4,幻灵标签
spell_talisman,奖章,,奖章,法术,从下列字母中随机挑选1个，为其添加硬币配饰,4,幻灵标签
spell_aura,棱镜,,棱镜,法术,选择1个字母，为其添加一个随机配饰,3,幻灵标签
spell_cache,宝匣,,宝匣,法术,获取一个随机的史诗宝藏,6,幻灵标签
spell_wraith,空钱包,,空钱包,法术,获取一个随机的传说宝藏，将钱包余额变为$0,7,幻灵标签
spell_ouija,曜板,,曜板,法术,将下列字母全部转换为同一个随机的稀有度,3,幻灵标签
spell_ectoplasm,烛台,,烛台,法术,为你的一个随机宝藏添加裁剪配饰，但你之后拼写的单词都会视为-1长度,5,幻灵标签
spell_immolate,火柴,,火柴,法术,随机移除下方全部字母，获得$15,5,幻灵标签
spell_ankh,钥匙,,钥匙,法术,从你的宝藏中随机挑选1个，摧毁其他宝藏，然后创建一个挑选的宝藏的复制,5,幻灵标签
spell_deja_vu,胶片,,胶片,法术,从下列字母中随机挑选1个，为其添加重播配饰,4,幻灵标签
spell_wrench,扳手,,扳手,法术,从下列字母中随机挑选1个，为其添加扳手配饰,4,幻灵标签
spell_diamond,钻石,,钻石,法术,从下列字母中随机挑选1个，为其添加钻石配饰,4,幻灵标签
spell_eclipse_length,阶梯,,阶梯,法术,将所有单词长度的等级提升1级,7,幻灵标签
spell_eclipse_rarity,色盘,,色盘,法术,将所有稀有度的等级提升1级,7,幻灵标签
upgrade_length_len3,升级 · 3字母,,升级 · 3字母,升级,3字母单词的等级提升1级,3,单卡区随机上架；亦可出现在升级组合包内
upgrade_length_len4,升级 · 4字母,,升级 · 4字母,升级,4字母单词的等级提升1级,3,单卡区随机上架；亦可出现在升级组合包内
upgrade_length_len5,升级 · 5字母,,升级 · 5字母,升级,5字母单词的等级提升1级,3,单卡区随机上架；亦可出现在升级组合包内
upgrade_length_len6_7,升级 · 6-7字母,,升级 · 6-7字母,升级,6-7字母单词的等级提升1级,3,单卡区随机上架；亦可出现在升级组合包内
upgrade_length_len8_10,升级 · 8-10字母,,升级 · 8-10字母,升级,8-10字母单词的等级提升1级,3,单卡区随机上架；亦可出现在升级组合包内
upgrade_length_len11_plus,升级 · 11+字母,,升级 · 11+字母,升级,11+字母单词的等级提升1级,3,单卡区随机上架；亦可出现在升级组合包内
upgrade_rarity_common,升级 · 普通,,升级 · 普通,升级,「普通」稀有度字母的等级提升 1 级,4,单卡区随机上架；亦可出现在升级组合包内
upgrade_rarity_rare,升级 · 稀有,,升级 · 稀有,升级,「稀有」稀有度字母的等级提升 1 级,4,单卡区随机上架；亦可出现在升级组合包内
upgrade_rarity_epic,升级 · 史诗,,升级 · 史诗,升级,「史诗」稀有度字母的等级提升 1 级,4,单卡区随机上架；亦可出现在升级组合包内
upgrade_rarity_legendary,升级 · 传说,,升级 · 传说,升级,「传说」稀有度字母的等级提升 1 级,4,单卡区随机上架；亦可出现在升级组合包内
bundle_spell_normal,法术包,,法术包,组合包,从3张法术卡中选择1张并使用,4,牌包区随机上架（进店生成，刷新不重掷）
bundle_spell_jumbo,巨型法术包,,巨型法术包,组合包,从5张法术卡中选择1张并使用,6,牌包区随机上架（进店生成，刷新不重掷）
bundle_spell_mega,超级法术包,,超级法术包,组合包,从5张法术卡中选择至多2张并使用,8,牌包区随机上架（进店生成，刷新不重掷）
bundle_upgrade_normal,升级包,,升级包,组合包,从3张升级卡中选择1张并使用,3,牌包区随机上架（进店生成，刷新不重掷）
bundle_upgrade_jumbo,巨型升级包,,巨型升级包,组合包,从5张升级卡中选择1张并使用,5,牌包区随机上架（进店生成，刷新不重掷）
bundle_upgrade_mega,超级升级包,,超级升级包,组合包,从5张升级卡中选择至多2张并使用,7,牌包区随机上架（进店生成，刷新不重掷）
bundle_treasure_normal,宝藏包,,宝藏包,组合包,从2个宝藏中选择1个并获取,4,牌包区随机上架（进店生成，刷新不重掷）
bundle_treasure_jumbo,巨型宝藏包,,巨型宝藏包,组合包,从4个宝藏中选择1个并获取,6,牌包区随机上架（进店生成，刷新不重掷）
bundle_treasure_mega,超级宝藏包,,超级宝藏包,组合包,从4个宝藏中选择至多2个并获取,8,牌包区随机上架（进店生成，刷新不重掷）
bundle_letter_normal,字母包,,字母包,组合包,从3个字母块中选择1个并加入牌库,4,牌包区随机上架（进店生成，刷新不重掷）
bundle_letter_jumbo,巨型字母包,,巨型字母包,组合包,从5个字母块中选择1个并加入牌库,6,牌包区随机上架（进店生成，刷新不重掷）
bundle_letter_mega,超级字母包,,超级字母包,组合包,从5个字母块中选择至多2个并加入牌库,8,牌包区随机上架（进店生成，刷新不重掷）
bundle_tile_normal,字母包（材质）,,字母包（材质）,组合包,从3个带材质字母块中选择1个并加入牌库,4,牌包区随机上架（进店生成，刷新不重掷）
bundle_tile_jumbo,巨型字母包（材质）,,巨型字母包（材质）,组合包,从5个带材质字母块中选择1个并加入牌库,6,牌包区随机上架（进店生成，刷新不重掷）
bundle_tile_mega,超级字母包（材质）,,超级字母包（材质）,组合包,从5个带材质字母块中选择至多2个并加入牌库,8,牌包区随机上架（进店生成，刷新不重掷）
deck_letter_random,字母（单张）,,字母（单张）,字母块,随机字母加入牌库（稀有度随字母而定）,3,需优惠券「打字机」；单卡区随机字母
deck_tile_random,字母（带材质）,,字母（带材质）,字母块,随机字母+材质/配饰加入牌库,5,需优惠券「打字机」二级；单卡区或材质字母包
